time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,W_L,H_A
[],[],[],[],[],['28'],['28'],"['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","[['2', 1, 1], ['2', 1, 1], ['3', 2, 1], ['3', 2, 1], ['3', 2, 1], ['3', 2, 1], ['3', 2, 1], ['3', 2, 1], ['3', 2, 1], ['3', 2, 1], ['3', 2, 1], ['3', 2, 1], ['3', 2, 1], ['3', 2, 1], ['3', 2, 1]]",L,H
[],[],[],[],[],[],[],[],[],[],[],[],[],[],['69'],"['69', '73']","['69', '73']","['69', '73', '82', '84']","['69', '73', '82', '84']","[['6', 1, 2], ['7', 2, 2], ['7', 2, 2], ['8', 4, 2], ['8', 4, 2], ['8', 4, 2]]",W,A
