year,match_num,match_num_t,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,W_L,H_A
1992,20,20,[],[],[],[],[],[],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],L,A
1992,21,21,[],[],[],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],['16'],"['16', '78']","['16', '78']","['16', '78']","['16', '78']",W,H
1992,21,21,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,22,22,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,H
1992,22,22,['04'],['04'],['04'],['04'],['04'],"['04', '29']","['04', '29']","['04', '29']","['04', '29']","['04', '29']","['04', '29']","['04', '29']","['04', '29']","['04', '29']","['04', '29']","['04', '29']","['04', '29']","['04', '29']","['04', '29']","['04', '29']",W,A
1992,23,23,[],[],[],[],[],[],[],[],[],[],[],[],[],['64'],['64'],['64'],['64'],['64'],['64'],['64'],D,H
1992,23,23,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['79'],['79'],['79'],['79'],D,A
1992,24,24,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['69'],['69'],['69'],['69'],['69'],['69'],W,H
1992,24,24,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,25,25,[],[],[],[],[],[],[],[],[],[],[],[],['57'],['57'],['57'],['57'],['57'],['57'],['57'],['57'],D,H
1992,25,25,[],[],[],[],[],[],[],[],[],[],[],[],['56'],['56'],['56'],['56'],['56'],['56'],['56'],['56'],D,A
1992,26,26,[],"['07', '08']","['07', '08']","['07', '08']","['07', '08']","['07', '08']","['07', '08']","['07', '08']","['07', '08']","['07', '08']","['07', '08', '47']","['07', '08', '47']","['07', '08', '47', '59']","['07', '08', '47', '59']","['07', '08', '47', '59']","['07', '08', '47', '59']","['07', '08', '47', '59']","['07', '08', '47', '59']","['07', '08', '47', '59']","['07', '08', '47', '59']",W,H
1992,26,26,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['68'],['68'],['68'],['68'],['68'],['68'],L,A
1992,27,27,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['67'],['67'],['67'],['67'],['67'],['67'],D,H
1992,27,27,[],[],[],[],[],[],[],[],[],[],[],['55'],['55'],['55'],['55'],['55'],['55'],['55'],['55'],['55'],D,A
